rank,formal_id,problem_id,wrong_confidence_effect
1,formal_039,test/algebra/2743.json,-0.17859956622123718
2,formal_028,test/algebra/2551.json,-0.05720698833465576
3,formal_031,test/algebra/2735.json,-0.04293204843997955
4,formal_024,test/prealgebra/1458.json,-0.04125875234603882
5,formal_030,test/algebra/1842.json,-0.03905518352985382
6,formal_029,test/algebra/346.json,-0.03734308481216431
7,formal_047,test/algebra/1035.json,-0.03364258259534836
8,formal_009,test/prealgebra/1924.json,-0.029239460825920105
9,formal_043,test/algebra/2789.json,-0.028940707445144653
10,formal_040,test/prealgebra/2019.json,-0.025755107402801514
11,formal_015,test/prealgebra/1272.json,-0.025014638900756836
12,formal_027,test/algebra/524.json,-0.02440422773361206
13,formal_042,test/prealgebra/996.json,-0.020230591297149658
14,formal_045,test/prealgebra/846.json,-0.020057320594787598
15,formal_014,test/algebra/988.json,-0.018906712532043457
16,formal_025,test/intermediate_algebra/149.json,-0.018672943115234375
17,formal_001,test/algebra/2584.json,-0.0159895122051239
18,formal_011,test/algebra/2251.json,-0.01339864730834961
19,formal_022,test/prealgebra/1907.json,-0.010948032140731812
20,formal_037,test/prealgebra/65.json,-0.008524253964424133
21,formal_050,test/algebra/1547.json,-0.0051066577434539795
22,formal_035,test/algebra/114.json,0.0053146034479141235
23,formal_038,test/algebra/2680.json,0.00814858078956604
24,formal_004,test/prealgebra/1840.json,0.008180886507034302
25,formal_002,test/algebra/2036.json,0.008737832307815552
26,formal_049,test/prealgebra/1995.json,0.009175315499305725
27,formal_013,test/prealgebra/1807.json,0.010497450828552246
28,formal_041,test/algebra/2080.json,0.01107633113861084
29,formal_026,test/prealgebra/1317.json,0.012425631284713745
30,formal_010,test/algebra/2593.json,0.013927578926086426
31,formal_036,test/prealgebra/977.json,0.018133647739887238
32,formal_023,test/algebra/864.json,0.018572717905044556
33,formal_012,test/prealgebra/505.json,0.018887847661972046
34,formal_048,test/algebra/1787.json,0.021839722990989685
35,formal_017,test/prealgebra/1113.json,0.026036381721496582
36,formal_044,test/algebra/2476.json,0.035115137696266174
37,formal_016,test/algebra/841.json,0.03830409049987793
38,formal_020,test/algebra/109.json,0.0397072434425354
39,formal_008,test/prealgebra/307.json,0.044131144881248474
40,formal_006,test/algebra/722.json,0.048701539635658264
41,formal_003,test/algebra/1098.json,0.049538612365722656
42,formal_032,test/algebra/251.json,0.050873368978500366
43,formal_021,test/algebra/1937.json,0.05900704860687256
44,formal_007,test/prealgebra/1247.json,0.06408211588859558
45,formal_046,test/prealgebra/1252.json,0.06778500974178314
46,formal_005,test/prealgebra/572.json,0.11434967815876007
47,formal_034,test/algebra/849.json,0.11941510438919067
48,formal_019,test/algebra/2199.json,0.14817485213279724
49,formal_033,test/prealgebra/1298.json,0.1516123265028
50,formal_018,test/prealgebra/1922.json,0.18948090076446533
